andel_kryss_valkrets,grund,id,kommun,mandat,namn,nummer,parti,partiprocent,partiröster,stol,summa_kryss_valkrets,summa_röster_valkrets,valkrets,ålder
"39,20",P,243427,Munkedal,7,Ann-Sofie Alm,1,M,19.33,1305,vald,2647,6752,Munkedal,46
"39,20",J,254818,Munkedal,7,Jan Hognert,2,M,19.33,1305,vald,2647,6752,Munkedal,67
"39,20",J,254819,Munkedal,7,Ausra Karlsson,3,M,19.33,1305,vald,2647,6752,Munkedal,48
"39,20",J,243439,Munkedal,7,Robin Karlsson Dahlgren,4,M,19.33,1305,vald,2647,6752,Munkedal,20
"39,20",J,254822,Munkedal,7,Martin Svenberg Rödin,5,M,19.33,1305,vald,2647,6752,Munkedal,41
"39,20",J,254823,Munkedal,7,Ulla Gustafsson,6,M,19.33,1305,vald,2647,6752,Munkedal,70
"39,20",J,254825,Munkedal,7,Johnny Ernflykt,7,M,19.33,1305,vald,2647,6752,Munkedal,36
"39,20",,254826,Munkedal,7,Malin Corner,1,M,19.33,1305,ersättare,2647,6752,Munkedal,43
"39,20",,254827,Munkedal,7,Gunnar Fredriksson,2,M,19.33,1305,ersättare,2647,6752,Munkedal,71
"39,20",,254828,Munkedal,7,Henrik Palm,3,M,19.33,1305,ersättare,2647,6752,Munkedal,39
"39,20",,254829,Munkedal,7,Linda Wighed,4,M,19.33,1305,ersättare,2647,6752,Munkedal,44
"39,20",P,1893,Munkedal,4,Christer Nilsson,1,C,12.46,841,vald,2647,6752,Munkedal,54
"39,20",P,6889,Munkedal,4,Karl-Anders Andersson,2,C,12.46,841,vald,2647,6752,Munkedal,63
"39,20",P,1875,Munkedal,4,Lars-Göran Sunesson,3,C,12.46,841,vald,2647,6752,Munkedal,49
"39,20",J,1891,Munkedal,4,Carina Thorstensson,4,C,12.46,841,vald,2647,6752,Munkedal,55
"39,20",,6892,Munkedal,4,Helena Hansson,1,C,12.46,841,ersättare,2647,6752,Munkedal,39
"39,20",,1887,Munkedal,4,Lovisa Svensson,2,C,12.46,841,ersättare,2647,6752,Munkedal,21
"39,20",P,235557,Munkedal,2,Göran Nyberg,1,L,6.87,464,vald,2647,6752,Munkedal,65
"39,20",J,235554,Munkedal,2,Karin Blomstrand,2,L,6.87,464,vald,2647,6752,Munkedal,61
"39,20",,235555,Munkedal,2,Anna Höglind,1,L,6.87,464,ersättare,2647,6752,Munkedal,40
"39,20",,235556,Munkedal,2,Johan Magnusson,2,L,6.87,464,ersättare,2647,6752,Munkedal,58
"39,20",P,248812,Munkedal,2,Fredrik Olsson,1,KD,4.93,333,vald,2647,6752,Munkedal,46
"39,20",J,249765,Munkedal,2,Rolf Jacobsson,2,KD,4.93,333,vald,2647,6752,Munkedal,69
"39,20",,249766,Munkedal,2,Olle Olsson,1,KD,4.93,333,ersättare,2647,6752,Munkedal,67
"39,20",,249767,Munkedal,2,Nina Andersson,2,KD,4.93,333,ersättare,2647,6752,Munkedal,71
"39,20",P,42088,Munkedal,8,Liza Kettil,1,S,22.91,1547,vald,2647,6752,Munkedal,39
"39,20",J,42089,Munkedal,8,Rolf Berg,2,S,22.91,1547,vald,2647,6752,Munkedal,67
"39,20",J,42090,Munkedal,8,Maria Sundell,3,S,22.91,1547,vald,2647,6752,Munkedal,55
"39,20",J,42091,Munkedal,8,Per-Arne Brink,4,S,22.91,1547,vald,2647,6752,Munkedal,65
"39,20",J,42092,Munkedal,8,Regina Johansson,5,S,22.91,1547,vald,2647,6752,Munkedal,27
"39,20",J,42093,Munkedal,8,Caritha Jacobsson,6,S,22.91,1547,vald,2647,6752,Munkedal,59
"39,20",J,42095,Munkedal,8,Pia Hässlebräcke,7,S,22.91,1547,vald,2647,6752,Munkedal,56
"39,20",J,42096,Munkedal,8,Leif Karlsson,8,S,22.91,1547,vald,2647,6752,Munkedal,67
"39,20",,42097,Munkedal,8,Jenny Jansson,1,S,22.91,1547,ersättare,2647,6752,Munkedal,40
"39,20",,42098,Munkedal,8,Håkan Bergqvist,2,S,22.91,1547,ersättare,2647,6752,Munkedal,52
"39,20",,42099,Munkedal,8,Yvonne Martinsson,3,S,22.91,1547,ersättare,2647,6752,Munkedal,69
"39,20",,42100,Munkedal,8,Hisham Alamro,4,S,22.91,1547,ersättare,2647,6752,Munkedal,28
"39,20",J,315647,Munkedal,2,Malin Svedjenäs,1,V,5.72,386,vald,2647,6752,Munkedal,27
"39,20",J,315648,Munkedal,2,Ove Göransson,2,V,5.72,386,vald,2647,6752,Munkedal,71
"39,20",,315649,Munkedal,2,Irene Barfoot Ekelund,1,V,5.72,386,ersättare,2647,6752,Munkedal,60
"39,20",,315650,Munkedal,2,Tiina Hemberg,2,V,5.72,386,ersättare,2647,6752,Munkedal,33
"39,20",J,84733,Munkedal,1,Hans-Joachim Isenheim,1,MP,2.74,185,vald,2647,6752,Munkedal,62
"39,20",,294953,Munkedal,1,Ayman Shehadeh,1,MP,2.74,185,ersättare,2647,6752,Munkedal,42
"39,20",,294954,Munkedal,1,Nina Isenheim,2,MP,2.74,185,ersättare,2647,6752,Munkedal,56
"39,20",P,62513,Munkedal,9,Matheus Enholm,1,SD,24.76,1672,vald,2647,6752,Munkedal,39
"39,20",P,62514,Munkedal,9,Heikki Klaavuniemi,2,SD,24.76,1672,vald,2647,6752,Munkedal,35
"39,20",J,62516,Munkedal,9,Christoffer Wallin,3,SD,24.76,1672,vald,2647,6752,Munkedal,27
"39,20",J,62517,Munkedal,9,Pontus Reuterbratt,4,SD,24.76,1672,vald,2647,6752,Munkedal,28
"39,20",J,62518,Munkedal,9,Christer Börjesson,5,SD,24.76,1672,vald,2647,6752,Munkedal,64
"39,20",J,62519,Munkedal,9,Tony Hansson,6,SD,24.76,1672,vald,2647,6752,Munkedal,26
"39,20",J,62520,Munkedal,9,Mathias Johansson,7,SD,24.76,1672,vald,2647,6752,Munkedal,46
"39,20",J,62521,Munkedal,9,Marko Pasanen,8,SD,24.76,1672,vald,2647,6752,Munkedal,45
"39,20",J,495912,Munkedal,9,Bo Ericson,9,SD,24.76,1672,vald,2647,6752,Munkedal,63
"39,20",,62525,Munkedal,9,Linn Hermansson,1,SD,24.76,1672,ersättare,2647,6752,Munkedal,28
"39,20",,62523,Munkedal,9,Peter Andersson,2,SD,24.76,1672,ersättare,2647,6752,Munkedal,46
"39,20",,495915,Munkedal,9,Carolina Gedda,3,SD,24.76,1672,ersättare,2647,6752,Munkedal,35
"39,20",,62524,Munkedal,9,Jan Peterson,4,SD,24.76,1672,ersättare,2647,6752,Munkedal,55
"39,20",,495917,Munkedal,9,Maria Pasanen,5,SD,24.76,1672,ersättare,2647,6752,Munkedal,48
"32,96",P,359038,Olofström,5,Patrik Krupa,1,M,8.98,767,vald,2816,8544,Olofström,51
"32,96",J,359039,Olofström,5,Marianne Eriksson,2,M,8.98,767,vald,2816,8544,Olofström,65
"32,96",J,359040,Olofström,5,Britta Lindgren,3,M,8.98,767,vald,2816,8544,Olofström,61
"32,96",J,359041,Olofström,5,Monica Carlsson,4,M,8.98,767,vald,2816,8544,Olofström,68
"32,96",J,359042,Olofström,5,Niklas Nordström,5,M,8.98,767,vald,2816,8544,Olofström,53
"32,96",,359043,Olofström,5,Torsten Cairenius,1,M,8.98,767,ersättare,2816,8544,Olofström,76
"32,96",,359044,Olofström,5,Bekim Tabaku,2,M,8.98,767,ersättare,2816,8544,Olofström,46
"32,96",,359045,Olofström,5,Erzsebet Belsö,3,M,8.98,767,ersättare,2816,8544,Olofström,67
"32,96",P,179750,Olofström,7,Rolf Jönsson,1,C,13.97,1194,vald,2816,8544,Olofström,59
"32,96",P,179749,Olofström,7,Malin Åman,2,C,13.97,1194,vald,2816,8544,Olofström,47
"32,96",J,179758,Olofström,7,Andreas Brovall,3,C,13.97,1194,vald,2816,8544,Olofström,41
"32,96",J,190815,Olofström,7,Anna Blissing,4,C,13.97,1194,vald,2816,8544,Olofström,36
"32,96",J,190816,Olofström,7,Gert Gustavsson,5,C,13.97,1194,vald,2816,8544,Olofström,76
"32,96",J,190817,Olofström,7,Maj Lindström,6,C,13.97,1194,vald,2816,8544,Olofström,51
"32,96",J,190818,Olofström,7,Bodil Jönsson,7,C,13.97,1194,vald,2816,8544,Olofström,57
"32,96",,190819,Olofström,7,Thomas Eriksson,1,C,13.97,1194,ersättare,2816,8544,Olofström,47
"32,96",,190820,Olofström,7,Susanne Mustig,2,C,13.97,1194,ersättare,2816,8544,Olofström,56
"32,96",,190821,Olofström,7,Bengt Olof Nilsson,3,C,13.97,1194,ersättare,2816,8544,Olofström,64
"32,96",,190822,Olofström,7,Tina Svensson,4,C,13.97,1194,ersättare,2816,8544,Olofström,41
"32,96",P,453465,Olofström,2,Klavs Wix Nielsen,1,KD,4.26,364,vald,2816,8544,Olofström,72
"32,96",J,454626,Olofström,2,Thommy Svensson,2,KD,4.26,364,vald,2816,8544,Olofström,72
"32,96",,454628,Olofström,2,Inger Ahnberg,1,KD,4.26,364,ersättare,2816,8544,Olofström,59
"32,96",,453462,Olofström,2,James Sandstedt,2,KD,4.26,364,ersättare,2816,8544,Olofström,64
"32,96",P,276761,Olofström,21,Sara Rudolfsson,1,S,42.56,3636,vald,2816,8544,Olofström,41
"32,96",J,276762,Olofström,21,Jan Björkman,2,S,42.56,3636,vald,2816,8544,Olofström,68
"32,96",J,276989,Olofström,21,Annika Sjöstedt,3,S,42.56,3636,vald,2816,8544,Olofström,48
"32,96",J,276990,Olofström,21,Kjell-Åke Karlsson,4,S,42.56,3636,vald,2816,8544,Olofström,72
"32,96",J,276991,Olofström,21,Karmen Björkman,5,S,42.56,3636,vald,2816,8544,Olofström,52
"32,96",J,276992,Olofström,21,Kaj Joelsson,6,S,42.56,3636,vald,2816,8544,Olofström,61
"32,96",J,276993,Olofström,21,Pirjo Veteli,7,S,42.56,3636,vald,2816,8544,Olofström,60
"32,96",J,276994,Olofström,21,Rolf Persson,8,S,42.56,3636,vald,2816,8544,Olofström,70
"32,96",J,276995,Olofström,21,Yvonne Andréasson,9,S,42.56,3636,vald,2816,8544,Olofström,62
"32,96",J,276996,Olofström,21,Lars-Göran Karlsson,10,S,42.56,3636,vald,2816,8544,Olofström,75
"32,96",J,276997,Olofström,21,Sonja Lundh,11,S,42.56,3636,vald,2816,8544,Olofström,71
"32,96",J,276998,Olofström,21,Miroslav Milurovic,12,S,42.56,3636,vald,2816,8544,Olofström,66
"32,96",J,276999,Olofström,21,Linda Rehn,13,S,42.56,3636,vald,2816,8544,Olofström,37
"32,96",J,139669,Olofström,21,Patrik Sjöstedt,14,S,42.56,3636,vald,2816,8544,Olofström,53
"32,96",J,277001,Olofström,21,Tamam Abou Hamidan,15,S,42.56,3636,vald,2816,8544,Olofström,30
"32,96",J,139659,Olofström,21,Richard Pelle Vidén,16,S,42.56,3636,vald,2816,8544,Olofström,37
"32,96",J,278320,Olofström,21,Sandra Danielsson,17,S,42.56,3636,vald,2816,8544,Olofström,29
"32,96",J,278321,Olofström,21,Michael Henriksson,18,S,42.56,3636,vald,2816,8544,Olofström,55
"32,96",J,278322,Olofström,21,Marie Everlönn,19,S,42.56,3636,vald,2816,8544,Olofström,40
"32,96",J,278324,Olofström,21,Siw Henriksson,20,S,42.56,3636,vald,2816,8544,Olofström,75
"32,96",J,278325,Olofström,21,Dan Orvegren,21,S,42.56,3636,vald,2816,8544,Olofström,68
