id,kandidat,kommun,kryssandel,lista,namn,nr,parti,personkryss,valkrets,valsedelnummer
243427,,Munkedal,26.51,personval,Ann-Sofie Alm,1,M,346,Munkedal,
243439,,Munkedal,3.91,personval,Robin Karlsson Dahlgren,2,M,51,Munkedal,
254828,,Munkedal,2.07,personval,Henrik Palm,3,M,27,Munkedal,
254818,,Munkedal,1.92,personval,Jan Hognert,4,M,25,Munkedal,
254831,,Munkedal,1.69,personval,Lars Olof Lyrdal,5,M,22,Munkedal,
254822,,Munkedal,1.53,personval,Martin Svenberg Rödin,6,M,20,Munkedal,
254819,,Munkedal,1.07,personval,Ausra Karlsson,7,M,14,Munkedal,
254825,,Munkedal,0.92,personval,Johnny Ernflykt,8,M,12,Munkedal,
254832,,Munkedal,0.84,personval,Lars Östman,9,M,11,Munkedal,
254827,,Munkedal,0.77,personval,Gunnar Fredriksson,10,M,10,Munkedal,
254833,,Munkedal,0.77,personval,Truls Koch,10,M,10,Munkedal,
254830,,Munkedal,0.61,personval,Camilla Espenkrona,12,M,8,Munkedal,
254834,,Munkedal,0.54,personval,Andreas Kårebrand,13,M,7,Munkedal,
254823,,Munkedal,0.54,personval,Ulla Gustafsson,13,M,7,Munkedal,
418765,,Munkedal,0.46,personval,Glenn Hammarström,15,M,6,Munkedal,
254842,,Munkedal,0.38,personval,Filip Karlsson Dahlgren,16,M,5,Munkedal,
254840,,Munkedal,0.38,personval,Frida Karlsson,16,M,5,Munkedal,
254843,,Munkedal,0.38,personval,Gert Aldegren,16,M,5,Munkedal,
254829,,Munkedal,0.38,personval,Linda Wighed,16,M,5,Munkedal,
254837,,Munkedal,0.38,personval,Wilma Espenkrona,16,M,5,Munkedal,
254847,,Munkedal,0.15,personval,[Inte lämnat förklaring],21,M,2,Munkedal,
254824,,Munkedal,0.15,personval,[Inte lämnat förklaring],21,M,2,Munkedal,
254839,,Munkedal,0.15,personval,James Olofsson,21,M,2,Munkedal,
254826,,Munkedal,0.15,personval,Malin Corner,21,M,2,Munkedal,
254835,,Munkedal,0.08,personval,Johanna Espenkrona,25,M,1,Munkedal,
254848,,Munkedal,0.08,personval,Linus Svanberg Andersson,25,M,1,Munkedal,
254836,,Munkedal,0.08,personval,Siri Hammarström,25,M,1,Munkedal,
1893,,Munkedal,8.8,personval,Christer Nilsson,1,C,74,Munkedal,
6889,,Munkedal,7.49,personval,Karl-Anders Andersson,2,C,63,Munkedal,
1875,,Munkedal,6.42,personval,Lars-Göran Sunesson,3,C,54,Munkedal,
6892,,Munkedal,3.92,personval,Helena Hansson,4,C,33,Munkedal,
1887,,Munkedal,2.73,personval,Lovisa Svensson,5,C,23,Munkedal,
1891,,Munkedal,2.14,personval,Carina Thorstensson,6,C,18,Munkedal,
6895,,Munkedal,1.66,personval,Leif Svensson,7,C,14,Munkedal,
6905,,Munkedal,1.19,personval,Ramadan Alili,8,C,10,Munkedal,
6900,,Munkedal,0.71,personval,Gisela Falck,9,C,6,Munkedal,
6904,,Munkedal,0.59,personval,Bengt Olov Åkerlund,10,C,5,Munkedal,
6911,,Munkedal,0.59,personval,Lotta Karlsson,10,C,5,Munkedal,
6897,,Munkedal,0.48,personval,Barbro Gustavsson,12,C,4,Munkedal,
6899,,Munkedal,0.48,personval,Caroline Ottermalm,12,C,4,Munkedal,
6903,,Munkedal,0.48,personval,Eva-Lotta Olsson,12,C,4,Munkedal,
6896,,Munkedal,0.48,personval,Johan Ljungblad,12,C,4,Munkedal,
6901,,Munkedal,0.48,personval,Thomas Utbult,12,C,4,Munkedal,
6906,,Munkedal,0.36,personval,[Inte lämnat förklaring],17,C,3,Munkedal,
6902,,Munkedal,0.36,personval,Lars Svensson,17,C,3,Munkedal,
6908,,Munkedal,0.24,personval,Erland Erntell,19,C,2,Munkedal,
6898,,Munkedal,0.24,personval,Rolf Hansson,19,C,2,Munkedal,
6910,,Munkedal,0.12,personval,Bengt Ryrmalm,21,C,1,Munkedal,
6907,,Munkedal,0.12,personval,Ulf Nilsson,21,C,1,Munkedal,
235557,,Munkedal,40.52,personval,Göran Nyberg,1,L,188,Munkedal,
235554,,Munkedal,7.33,personval,Karin Blomstrand,2,L,34,Munkedal,
235555,,Munkedal,3.23,personval,Anna Höglind,3,L,15,Munkedal,
235560,,Munkedal,1.08,personval,Per-Göran Ekeroos,4,L,5,Munkedal,
235558,,Munkedal,0.65,personval,Thomas Högberg,5,L,3,Munkedal,
235556,,Munkedal,0.43,personval,Johan Magnusson,6,L,2,Munkedal,
235561,,Munkedal,0.43,personval,Lena Gustafsson,6,L,2,Munkedal,
235559,,Munkedal,0.22,personval,Leina Selinder,8,L,1,Munkedal,
248812,,Munkedal,15.32,personval,Fredrik Olsson,1,KD,51,Munkedal,
249766,,Munkedal,6.31,personval,Olle Olsson,2,KD,21,Munkedal,
249765,,Munkedal,6.31,personval,Rolf Jacobsson,2,KD,21,Munkedal,
249767,,Munkedal,4.2,personval,Nina Andersson,4,KD,14,Munkedal,
249768,,Munkedal,1.5,personval,Gun-Britt Jacobsson,5,KD,5,Munkedal,
42088,,Munkedal,6.14,personval,Liza Kettil,1,S,95,Munkedal,
42089,,Munkedal,3.56,personval,Rolf Berg,2,S,55,Munkedal,
42105,,Munkedal,3.56,personval,Ziya Yenigün,2,S,55,Munkedal,
42092,,Munkedal,2.26,personval,Regina Johansson,4,S,35,Munkedal,
42110,,Munkedal,1.68,personval,Åsa Karlsson,5,S,26,Munkedal,
42093,,Munkedal,1.55,personval,Caritha Jacobsson,6,S,24,Munkedal,
42090,,Munkedal,1.29,personval,Maria Sundell,7,S,20,Munkedal,
42100,,Munkedal,0.97,personval,Hisham Alamro,8,S,15,Munkedal,
42091,,Munkedal,0.84,personval,Per-Arne Brink,9,S,13,Munkedal,
42102,,Munkedal,0.78,personval,Jennie Olsson,10,S,12,Munkedal,
42111,,Munkedal,0.78,personval,Olle Strömberg,10,S,12,Munkedal,
42097,,Munkedal,0.65,personval,Jenny Jansson,12,S,10,Munkedal,
42096,,Munkedal,0.65,personval,Leif Karlsson,12,S,10,Munkedal,
42094,,Munkedal,0.58,personval,[Inte lämnat förklaring],14,S,9,Munkedal,
42112,,Munkedal,0.58,personval,Yvonne Johansson,14,S,9,Munkedal,
42099,,Munkedal,0.58,personval,Yvonne Martinsson,14,S,9,Munkedal,
42101,,Munkedal,0.52,personval,Inger Orsbeck,17,S,8,Munkedal,
42113,,Munkedal,0.52,personval,Maria Hallenberg,17,S,8,Munkedal,
42095,,Munkedal,0.45,personval,Pia Hässlebräcke,19,S,7,Munkedal,
42106,,Munkedal,0.39,personval,Anette Tander,20,S,6,Munkedal,
42104,,Munkedal,0.39,personval,Else-Marie Grundberg,20,S,6,Munkedal,
42098,,Munkedal,0.32,personval,Håkan Bergqvist,22,S,5,Munkedal,
42107,,Munkedal,0.32,personval,Rolf Bjelm,22,S,5,Munkedal,
42109,,Munkedal,0.26,personval,Raimo Norrgran-Kettil,24,S,4,Munkedal,
42103,,Munkedal,0.26,personval,Sten-Ove Niklasson,24,S,4,Munkedal,
42108,,Munkedal,0.19,personval,Lene Matysiak,26,S,3,Munkedal,
315647,,Munkedal,12.18,personval,Malin Svedjenäs,1,V,47,Munkedal,
315648,,Munkedal,4.66,personval,Ove Göransson,2,V,18,Munkedal,
315650,,Munkedal,3.89,personval,Tiina Hemberg,3,V,15,Munkedal,
315651,,Munkedal,2.85,personval,Kasper Gustafsson,4,V,11,Munkedal,
315649,,Munkedal,1.3,personval,Irene Barfoot Ekelund,5,V,5,Munkedal,
315654,,Munkedal,1.3,personval,Marie Wallsby,5,V,5,Munkedal,
315653,,Munkedal,1.3,personval,Niklas Hemberg,5,V,5,Munkedal,
315652,,Munkedal,1.04,personval,Gustaf Svedjenäs,8,V,4,Munkedal,
315655,,Munkedal,0.52,personval,Håkan Berg,9,V,2,Munkedal,
294953,,Munkedal,16.22,personval,Ayman Shehadeh,1,MP,30,Munkedal,
84733,,Munkedal,7.03,personval,Hans-Joachim Isenheim,2,MP,13,Munkedal,
294954,,Munkedal,4.86,personval,Nina Isenheim,3,MP,9,Munkedal,
294955,,Munkedal,1.08,personval,Ellen Werenskiöld-Solberg,4,MP,2,Munkedal,
62513,,Munkedal,15.91,personval,Matheus Enholm,1,SD,266,Munkedal,
62514,,Munkedal,7.83,personval,Heikki Klaavuniemi,2,SD,131,Munkedal,
62518,,Munkedal,2.45,personval,Christer Börjesson,3,SD,41,Munkedal,
62525,,Munkedal,2.27,personval,Linn Hermansson,4,SD,38,Munkedal,
62521,,Munkedal,2.21,personval,Marko Pasanen,5,SD,37,Munkedal,
62516,,Munkedal,2.15,personval,Christoffer Wallin,6,SD,36,Munkedal,
62524,,Munkedal,2.03,personval,Jan Peterson,7,SD,34,Munkedal,
62520,,Munkedal,1.73,personval,Mathias Johansson,8,SD,29,Munkedal,
62519,,Munkedal,1.5,personval,Tony Hansson,9,SD,25,Munkedal,
495917,,Munkedal,1.08,personval,Maria Pasanen,10,SD,18,Munkedal,
62527,,Munkedal,0.84,personval,Håkan Skenhede,11,SD,14,Munkedal,
495915,,Munkedal,0.72,personval,Carolina Gedda,12,SD,12,Munkedal,
495912,,Munkedal,0.6,personval,Bo Ericson,13,SD,10,Munkedal,
62523,,Munkedal,0.36,personval,Peter Andersson,14,SD,6,Munkedal,
62517,,Munkedal,0.36,personval,Pontus Reuterbratt,14,SD,6,Munkedal,
62526,,Munkedal,0.12,personval,Jonas Rohman,16,SD,2,Munkedal,
359038,,Olofström,10.04,personval,Patrik Krupa,1,M,77,Olofström,
359039,,Olofström,3.65,personval,Marianne Eriksson,2,M,28,Olofström,
359040,,Olofström,3.52,personval,Britta Lindgren,3,M,27,Olofström,
359041,,Olofström,2.87,personval,Monica Carlsson,4,M,22,Olofström,
359044,,Olofström,1.43,personval,Bekim Tabaku,5,M,11,Olofström,
359049,,Olofström,1.3,personval,Mattias Karlsson,6,M,10,Olofström,
359042,,Olofström,1.3,personval,Niklas Nordström,6,M,10,Olofström,
359045,,Olofström,0.91,personval,Erzsebet Belsö,8,M,7,Olofström,
359043,,Olofström,0.91,personval,Torsten Cairenius,8,M,7,Olofström,
359048,,Olofström,0.78,personval,Katarzyna Krupa,10,M,6,Olofström,
359047,,Olofström,0.65,personval,Sirpa Jensen,11,M,5,Olofström,
359046,,Olofström,0.39,personval,[Inte lämnat förklaring],12,M,3,Olofström,
179750,,Olofström,17.84,personval,Rolf Jönsson,1,C,213,Olofström,
179749,,Olofström,6.78,personval,Malin Åman,2,C,81,Olofström,
190819,,Olofström,3.43,personval,Thomas Eriksson,3,C,41,Olofström,
190815,,Olofström,2.01,personval,Anna Blissing,4,C,24,Olofström,
179758,,Olofström,1.76,personval,Andreas Brovall,5,C,21,Olofström,
190818,,Olofström,1.42,personval,Bodil Jönsson,6,C,17,Olofström,
190824,,Olofström,1.17,personval,Amra Bajramovic,7,C,14,Olofström,
190832,,Olofström,0.5,personval,Fabian Jönsson,8,C,6,Olofström,
190825,,Olofström,0.42,personval,Boris Eriksson,9,C,5,Olofström,
190816,,Olofström,0.42,personval,Gert Gustavsson,9,C,5,Olofström,
190820,,Olofström,0.42,personval,Susanne Mustig,9,C,5,Olofström,
190817,,Olofström,0.34,personval,Maj Lindström,12,C,4,Olofström,
190823,,Olofström,0.34,personval,Mats Sigfridsson,12,C,4,Olofström,
190828,,Olofström,0.25,personval,Per Enberg,14,C,3,Olofström,
190821,,Olofström,0.17,personval,Bengt Olof Nilsson,15,C,2,Olofström,
190822,,Olofström,0.17,personval,Tina Svensson,15,C,2,Olofström,
190826,,Olofström,0.17,personval,Ulrika Thuresson,15,C,2,Olofström,
190829,,Olofström,0.08,personval,Agnetha Andreasson,18,C,1,Olofström,
190836,,Olofström,0.08,personval,Barbro Hansson,18,C,1,Olofström,
190835,,Olofström,0.08,personval,Christoffer N Magnstedt,18,C,1,Olofström,
190837,,Olofström,0.08,personval,Jan Åke Hallström,18,C,1,Olofström,
190833,,Olofström,0.08,personval,Magnus Johansson,18,C,1,Olofström,
190838,,Olofström,0.08,personval,Stefan Olsson,18,C,1,Olofström,
8032,,Olofström,7.94,personval,Björn Söderdahl,1,L,10,Olofström,
27478,,Olofström,5.56,personval,Jennifer Palo,2,L,7,Olofström,
27476,,Olofström,5.56,personval,Rolf Liljeqvist,2,L,7,Olofström,
453465,,Olofström,17.31,personval,Klavs Wix Nielsen,1,KD,63,Olofström,
454626,,Olofström,3.02,personval,Thommy Svensson,2,KD,11,Olofström,
454628,,Olofström,1.37,personval,Inger Ahnberg,3,KD,5,Olofström,
453462,,Olofström,1.37,personval,James Sandstedt,3,KD,5,Olofström,
454632,,Olofström,1.1,personval,Ingrid Brånsjö,5,KD,4,Olofström,
454721,,Olofström,0.55,personval,Erik Aronsson,6,KD,2,Olofström,
454717,,Olofström,0.55,personval,Gert-Ingvar Ottosson,6,KD,2,Olofström,
454714,,Olofström,0.55,personval,[Inte lämnat förklaring],6,KD,2,Olofström,
454715,,Olofström,0.27,personval,Bengt Jämstorp,9,KD,1,Olofström,
454716,,Olofström,0.27,personval,Christina Gustafsson,9,KD,1,Olofström,
454718,,Olofström,0.27,personval,Olle Svensson,9,KD,1,Olofström,
276761,,Olofström,14.36,personval,Sara Rudolfsson,1,S,522,Olofström,
276762,,Olofström,2.89,personval,Jan Björkman,2,S,105,Olofström,
278323,,Olofström,2.86,personval,Molham Alshooykh,3,S,104,Olofström,
276998,,Olofström,1.93,personval,Miroslav Milurovic,4,S,70,Olofström,
139659,,Olofström,1.13,personval,Richard Pelle Vidén,5,S,41,Olofström,
278320,,Olofström,0.91,personval,Sandra Danielsson,6,S,33,Olofström,
276989,,Olofström,0.85,personval,Annika Sjöstedt,7,S,31,Olofström,
276991,,Olofström,0.83,personval,Karmen Björkman,8,S,30,Olofström,
276999,,Olofström,0.74,personval,Linda Rehn,9,S,27,Olofström,
276990,,Olofström,0.66,personval,Kjell-Åke Karlsson,10,S,24,Olofström,
139669,,Olofström,0.5,personval,Patrik Sjöstedt,11,S,18,Olofström,
277001,,Olofström,0.5,personval,Tamam Abou Hamidan,11,S,18,Olofström,
278321,,Olofström,0.44,personval,Michael Henriksson,13,S,16,Olofström,
278328,,Olofström,0.41,personval,Eva Johnsson,14,S,15,Olofström,
276992,,Olofström,0.41,personval,Kaj Joelsson,14,S,15,Olofström,
278624,,Olofström,0.36,personval,Mirsad Hadzic,16,S,13,Olofström,
276995,,Olofström,0.33,personval,Yvonne Andréasson,17,S,12,Olofström,
276993,,Olofström,0.3,personval,Pirjo Veteli,18,S,11,Olofström,
278329,,Olofström,0.25,personval,Håkan Assarsson,19,S,9,Olofström,
278333,,Olofström,0.22,personval,Erik Halling,20,S,8,Olofström,
278347,,Olofström,0.19,personval,Morgan Bengtsson,21,S,7,Olofström,
278341,,Olofström,0.19,personval,Nedjo Diljkan,21,S,7,Olofström,
278336,,Olofström,0.19,personval,Sam Vidén Jakobsson,21,S,7,Olofström,
276997,,Olofström,0.19,personval,Sonja Lundh,21,S,7,Olofström,
278342,,Olofström,0.19,personval,Sophie Kjellberg,21,S,7,Olofström,
278627,,Olofström,0.17,personval,Fredrik Svensson,26,S,6,Olofström,
278617,,Olofström,0.14,personval,Ann Rajalampi,27,S,5,Olofström,
278349,,Olofström,0.14,personval,Henrik Johansson,27,S,5,Olofström,
278327,,Olofström,0.14,personval,Mikael Kjellberg,27,S,5,Olofström,
278337,,Olofström,0.14,personval,Ola Bengtsson,27,S,5,Olofström,
278324,,Olofström,0.14,personval,Siw Henriksson,27,S,5,Olofström,
278334,,Olofström,0.08,personval,Anita Stark,32,S,3,Olofström,
278340,,Olofström,0.08,personval,Bogdanka Sublja,32,S,3,Olofström,
278614,,Olofström,0.08,personval,[Inte lämnat förklaring],32,S,3,Olofström,
278350,,Olofström,0.08,personval,Louise Winberg,32,S,3,Olofström,
278322,,Olofström,0.08,personval,Marie Everlönn,32,S,3,Olofström,
278345,,Olofström,0.06,personval,Anders Johansson,37,S,2,Olofström,
278619,,Olofström,0.06,personval,Anette Lennartsson,37,S,2,Olofström,
278325,,Olofström,0.06,personval,Dan Orvegren,37,S,2,Olofström,
278348,,Olofström,0.06,personval,Helle Morsel,37,S,2,Olofström,
278625,,Olofström,0.06,personval,Johan Kajrup,37,S,2,Olofström,
278331,,Olofström,0.06,personval,Johnny Andréasson,37,S,2,Olofström,
276996,,Olofström,0.06,personval,Lars-Göran Karlsson,37,S,2,Olofström,
278615,,Olofström,0.06,personval,Pernilla Nordin,37,S,2,Olofström,
278335,,Olofström,0.06,personval,Sammy Gunnarsson,37,S,2,Olofström,
278622,,Olofström,0.03,personval,Anas Ammar,46,S,1,Olofström,
278343,,Olofström,0.03,personval,Christer Vidén,46,S,1,Olofström,
278339,,Olofström,0.03,personval,Håkan Björkman,46,S,1,Olofström,
278621,,Olofström,0.03,personval,Ingolf Johnsson,46,S,1,Olofström,
278330,,Olofström,0.03,personval,Ingrid Karlsson,46,S,1,Olofström,
278326,,Olofström,0.03,personval,Marita Orvegren,46,S,1,Olofström,
